requisition_id,title
R-2114848,"Senior Manager, Data Analytics"
R-2091244,"Senior Manager, Data Analytics - Product and Marketing Analytics"
R-2154982,"(USA) Senior Manager, Data Analytics"
R-2155309,"(USA) Manager, Data Analytics"
R-2140275,"(USA) Director, Data Analytics"
R-2124281,"(USA) Senior Manager, Data Analytics"
R-2114193,"Director, Data Analytics – Contribution Profit Intelligence"
R-2126555,"Senior Director, Data Science – Walmart Connect – Head of Pricing & Yield Analytics"
R-2148780,"Senior Data Scientist, Member Engagement"
R-2149267,Data Scientist III
R-2148534,"Data Scientist, Sam’s Member Engagement"
R-2149273,Data Scientist III
R-2148535,Senior Data Scientist
R-2149258,Data Scientist III
R-2148518,Senior Data Scientist
R-2148532,"Senior Manager, Advanced Analytics"
R-2148517,Senior Data Scientist
R-2148524,Senior Data Scientist
R-2148513,Data Scientist
R-2148506,Senior Data Scientist
R-2155332,"(USA) Senior Manager, Advanced Analytics"
R-2155352,"(USA) Manager, Advanced Analytics"
R-2147750,"Senior Manager, Data Science"
R-2148523,Senior Data Scientist
R-2147731,Staff Data Analyst
